GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab8-design-pattern-singleton-team1234,lab,ChocolateBoiler,6,39,3,7,2,14,3,8,0,6
lab8-design-pattern-singleton-team1234,lab,ChocolateBoilerSingleton,15,42,6,6,4,16,5,9,0,8
